Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Anciens combattants, mémoire et liens avec la Nation;MB;169.0;Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;03;Reconnaissance envers le monde combattant;31;Majoration des rentes mutualistes des anciens combattants et victimes de guerre;61.0;6;194955926.0;194955926.0;0.0;0.0;Armées
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;04;Réglementation, politique technique et qualité de la construction;;;31.0;3;51200000.0;51200000.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Cohésion des territoires;VA;135.0;Urbanisme, territoires et amélioration de l'habitat;04;Réglementation, politique technique et qualité de la construction;;;61.0;6;1124673800.0;1124673800.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Conseil et contrôle de l'État;CA;126.0;Conseil économique, social et environnemental;05;Fonctions supports à l'institution;;;22.0;2;1946984.0;1946984.0;0.0;0.0;Services du Premier ministre
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;06;Soutien;;;52.0;5;5375000.0;7114771.0;0.0;0.0;Services du Premier ministre
BG;Culture;CB;175.0;Patrimoines;01;Monuments Historiques et patrimoine monumental;;;63.0;6;109426126.0;107734054.0;0.0;0.0;Culture
BG;Culture;CB;361.0;Transmission des savoirs et démocratisation de la culture;02;Soutien à la démocratisation et à l'éducation artistique et culturelle;;;62.0;6;211000000.0;211000000.0;0.0;0.0;Culture
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;62;Renseigner, surveiller, acquérir et reconnaître - Drones aériens;64.0;6;35097.0;1846008.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;08;Projection - mobilité - soutien;45;Assurer la mobilité - HIL;31.0;3;1268328.0;9249536.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;75;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - Patrouilleur futur;51.0;5;0.0;138821783.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;10;Protection et sauvegarde;77;Assurer la sûreté des approches, la sécurité de l'Etat, de la nation et des citoyens - AVSIMAR;51.0;5;1107639.0;145534723.0;0.0;0.0;Armées
BG;Défense;DA;146.0;Équipement des forces;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;51.0;5;65584900.0;62131278.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;01;Planification  des moyens et conduite des opérations;11;Renseignement d'intérêt militaire;31.0;3;51759668.0;39622742.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;03;Préparation des forces navales;08;Environnement opérationnel des forces navales;51.0;5;5495302.0;6813643.0;0.0;0.0;Armées
BG;Défense;DA;178.0;Préparation et emploi des forces;05;Logistique et soutien interarmées;82;Soutien des forces par les bases de défense;31.0;3;1881843679.0;1329052930.0;10480000.0;10480000.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;08;Politique culturelle et éducative;01;Actions culturelles et mise en valeur du patrimoine;31.0;3;2661279.0;2661279.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;52;Relations internationales;02;DGRIS / Diplomatie de défense;21.0;2;47589765.0;47589765.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;54;"Planification des moyens et conduite des opérations - Personnel travaillant  pour le programme ""Préparation et emploi des forces""";04;EMA/Organismes interarmées /SC Performance;22.0;2;60919340.0;60919340.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;57;"Préparation des forces aériennes- Personnel travaillant pour le programme ""Préparation et emploi des forces""";01;Ressources humaines des forces aériennes;23.0;2;8306860.0;8306860.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;64;"Pilotage, soutien  -  Personnel travaillant pour l'action "" Pilotage, soutien """;08;Personnel de l'agence de reconversion de la Défense;21.0;2;28173144.0;28173144.0;0.0;0.0;Armées
BG;Défense;DA;212.0;Soutien de la politique de la défense;67;Pilotage, soutien et communication - dépenses de personnel des cabinets et des organismes rattachés / RH;01;Cabinet du Ministre des armées - Cabinet du ministre délégué auprès du Ministre des armées - sous-direction des cabinets;21.0;2;18569540.0;18569540.0;0.0;0.0;Armées
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;22;Personnels transférés aux collectivités territoriales;;;22.0;2;5032615.0;5032615.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;25;Commission nationale du débat public;;;23.0;2;8151.0;8151.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Écologie, développement et mobilité durables;TA;217.0;Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;26;Autorité de contrôle des nuisances aéroportuaires (ACNUSA);;;22.0;2;459617.0;459617.0;0.0;0.0;Transition écologique et cohésion des territoires
BG;Économie;DB;134.0;Développement des entreprises et régulations;07;Développement international des entreprises et attractivité du territoire;;;62.0;6;3800000.0;3800000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;134.0;Développement des entreprises et régulations;15;Mise en oeuvre du droit de la concurrence (Autorité de la concurrence);;;31.0;3;21350000.0;5059930.0;5000.0;5000.0;Économie, finances et souveraineté industrielle et numérique
BG;Économie;DB;134.0;Développement des entreprises et régulations;23;Industrie et services;;;63.0;6;9000000.0;9000000.0;0.0;0.0;Économie, finances et souveraineté industrielle et numérique
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;01;Enseignement pré-élémentaire;;;21.0;2;443060324.0;443060324.0;0.0;0.0;Éducation nationale et  jeunesse
BG;Enseignement scolaire;EC;139.0;Enseignement privé du premier et du second degrés;06;Enseignement post-baccalauréat en lycée;;;23.0;2;2227325.0;2227325.0;0.0;0.0;Éducation nationale et  jeunesse
