ANNEE;SEXE;AGEQ;POPACTBIT;TACTBIT
1987;E;T;25131;56.8
1987;E;T15;980;22.1
1987;E;T1524;4292;48.9
1987;E;T1564;24924;67.2
1987;E;T20;3312;76.3
1987;E;T25;3644;85.4
1987;E;T2549;16302;84.8
1987;E;T30;3641;84.7
1987;E;T35;3822;85.9
1987;E;T40;2893;85.6
1987;E;T45;2303;81.1
1987;E;T50;2238;73.1
1987;E;T5064;4330;47.8
1987;E;T55;1566;50.6
1987;E;T5564;2092;34.9
1987;E;T60;526;18.1
1987;E;T65;121;5.7
1987;E;T70;85;1.7
1988;H;T;14276;66.6
1988;H;T15;518;22.8
1988;H;T1524;2220;50.0
1988;H;T1564;14148;76.4
1988;H;T20;1702;78.4
1988;H;T25;2016;95.0
1988;H;T2549;9400;96.6
1988;H;T30;2049;96.4
1988;H;T35;2171;97.6
1988;H;T40;1792;97.6
1988;H;T45;1373;96.3
1988;H;T50;1313;88.5
1988;H;T5064;2527;58.3
1988;H;T55;932;62.7
1988;H;T5564;1214;42.6
1988;H;T60;282;20.6
1988;H;T65;81;7.6
1988;H;T70;47;2.5
1988;F;T;10870;46.8
1988;F;T15;368;16.8
1988;F;T1524;1843;42.2
1988;F;T1564;10800;57.4
1988;F;T20;1474;67.7
1988;F;T25;1639;75.3
1988;F;T2549;7174;73.5
1988;F;T30;1583;74.0
1988;F;T35;1665;74.8
1988;F;T40;1326;73.9
1988;F;T45;961;67.5
1988;F;T50;894;58.2
1988;F;T5064;1784;38.0
1988;F;T55;654;40.9
1988;F;T5564;890;28.2
1988;F;T60;236;15.2
1988;F;T65;45;3.4
1988;F;T70;25;0.8
1988;E;T;25146;56.3
1988;E;T15;887;19.9
1988;E;T1524;4063;46.1
1988;E;T1564;24949;66.8
1988;E;T20;3176;73.1
1988;E;T25;3654;85.0
1988;E;T2549;16574;85.0
1988;E;T30;3632;85.1
1988;E;T35;3836;86.2
1988;E;T40;3118;85.9
1988;E;T45;2334;82.0
1988;E;T50;2207;73.1
1988;E;T5064;4311;47.8
1988;E;T55;1586;51.4
1988;E;T5564;2104;35.0
1988;E;T60;518;17.7
1988;E;T65;125;5.3
1988;E;T70;72;1.5
1989;H;T;14326;66.3
1989;H;T15;481;21.2
1989;H;T1524;2160;48.8
1989;H;T1564;14195;76.2
1989;H;T20;1679;77.9
1989;H;T25;2045;95.1
1989;H;T2549;9547;96.5
1989;H;T30;2041;96.5
1989;H;T35;2138;97.4
1989;H;T40;1931;97.2
1989;H;T45;1392;96.4
1989;H;T50;1271;87.8
1989;H;T5064;2488;57.7
1989;H;T55;946;63.2
1989;H;T5564;1217;42.5
1989;H;T60;271;19.8
1989;H;T65;87;7.6
1989;H;T70;43;2.4
1989;F;T;11023;47.1
1989;F;T15;321;14.9
1989;F;T1524;1800;41.4
1989;F;T1564;10944;57.8
1989;F;T20;1478;67.6
1989;F;T25;1662;75.8
1989;F;T2549;7367;74.2
1989;F;T30;1605;74.1
1989;F;T35;1664;75.4
1989;F;T40;1461;75.5
1989;F;T45;975;68.1
1989;F;T50;906;60.4
1989;F;T5064;1778;38.2
1989;F;T55;651;40.6
1989;F;T5564;871;27.6
1989;F;T60;220;14.2
1989;F;T65;55;3.8
1989;F;T70;25;0.8
1989;E;T;25349;56.3
1989;E;T15;803;18.1
1989;E;T1524;3960;45.1
1989;E;T1564;25139;66.9
1989;E;T20;3157;72.7
1989;E;T25;3707;85.3
1989;E;T2549;16914;85.3
1989;E;T30;3646;85.2
1989;E;T35;3802;86.4
1989;E;T40;3392;86.5
1989;E;T45;2367;82.3
1989;E;T50;2177;73.9
1989;E;T5064;4265;47.5
1989;E;T55;1597;51.5
1989;E;T5564;2088;34.7
1989;E;T60;491;16.8
1989;E;T65;142;5.5
1989;E;T70;68;1.4
1990;H;T;14278;65.5
1990;H;T15;457;20.3
1990;H;T1524;2064;46.9
1990;H;T1564;14161;75.6
1990;H;T20;1607;74.7
1990;H;T25;2047;94.5
1990;H;T2549;9633;96.3
1990;H;T30;2020;96.3
1990;H;T35;2100;96.8
1990;H;T40;2070;97.2
1990;H;T45;1396;96.8
1990;H;T50;1283;88.4
1990;H;T5064;2464;56.9
1990;H;T55;932;62.4
1990;H;T5564;1181;41.1
1990;H;T60;249;18.0
1990;H;T65;82;6.8
1990;H;T70;36;1.9
1990;F;T;11099;47.0
1990;F;T15;286;13.2
1990;F;T1524;1712;39.7
1990;F;T1564;11033;58.0
1990;F;T20;1425;66.6
1990;F;T25;1674;76.7
1990;F;T2549;7560;75.0
1990;F;T30;1650;75.6
1990;F;T35;1644;75.3
1990;F;T40;1602;76.3
1990;F;T45;990;69.2
1990;F;T50;899;60.5
1990;F;T5064;1761;38.0
1990;F;T55;654;40.9
1990;F;T5564;862;27.4
1990;F;T60;208;13.5
1990;F;T65;48;3.2
1990;F;T70;18;0.6
1990;E;T;25377;55.9
1990;E;T15;743;16.8
1990;E;T1524;3775;43.4
1990;E;T1564;25193;66.8
1990;E;T20;3032;70.7
1990;E;T25;3721;85.6
1990;E;T2549;17193;85.6
1990;E;T30;3670;85.8
1990;E;T35;3744;86.1
1990;E;T40;3672;86.8
1990;E;T45;2386;83.0
1990;E;T50;2182;74.3
1990;E;T5064;4225;47.2
1990;E;T55;1586;51.3
1990;E;T5564;2043;33.9
1990;E;T60;457;15.6
1990;E;T65;130;4.8
1990;E;T70;54;1.1
1991;H;T;14171;64.9
1991;H;T15;399;18.4
1991;H;T1524;1898;44.5
1991;H;T1564;14057;75.1
1991;H;T20;1499;71.7
1991;H;T25;2033;94.2
1991;H;T2549;9797;96.2
1991;H;T30;2056;96.4
1991;H;T35;2128;97.3
1991;H;T40;2109;96.9
1991;H;T45;1472;96.0
1991;H;T50;1253;87.9
1991;H;T5064;2362;55.4
1991;H;T55;901;62.6
1991;H;T5564;1109;39.1
1991;H;T60;209;14.9
1991;H;T65;79;6.7
1991;H;T70;35;1.8
1991;F;T;11159;47.1
1991;F;T15;236;11.3
