Annee;Academie.origine;Academie.recrutement;Groupe.CNU;MCF
2019;GRENOBLE;VERSAILLES;Droit;
2019;GUADELOUPE;VERSAILLES;Droit;
2019;LILLE;VERSAILLES;Droit;
2019;LYON;VERSAILLES;Droit;
2019;MONTPELLIER;VERSAILLES;Droit;
2019;NANCY-METZ;VERSAILLES;Droit;
2019;NANTES;VERSAILLES;Droit;1
2019;NICE;VERSAILLES;Droit;
2019;ORLEANS-TOURS;VERSAILLES;Droit;
2019;PARIS;VERSAILLES;Droit;
2019;POITIERS;VERSAILLES;Droit;
2019;REIMS;VERSAILLES;Droit;
2019;RENNES;VERSAILLES;Droit;
2019;ROUEN;VERSAILLES;Droit;
2019;STRASBOURG;VERSAILLES;Droit;1
2019;TOULOUSE;VERSAILLES;Droit;1
2019;VERSAILLES;VERSAILLES;Droit;
2019;AIX-MARSEILLE;AIX-MARSEILLE;Lettres;
2019;AMIENS;AIX-MARSEILLE;Lettres;
2019;BESANCON;AIX-MARSEILLE;Lettres;
2019;BORDEAUX;AIX-MARSEILLE;Lettres;
2019;CAEN;AIX-MARSEILLE;Lettres;
2019;CLERMONT-FERRAND;AIX-MARSEILLE;Lettres;
2019;CORSE;AIX-MARSEILLE;Lettres;
2019;CRETEIL;AIX-MARSEILLE;Lettres;1
2019;DIJON;AIX-MARSEILLE;Lettres;
2019;GRENOBLE;AIX-MARSEILLE;Lettres;
2019;GUADELOUPE;AIX-MARSEILLE;Lettres;
2019;LILLE;AIX-MARSEILLE;Lettres;
2019;LYON;AIX-MARSEILLE;Lettres;
2019;MONTPELLIER;AIX-MARSEILLE;Lettres;
2019;NANCY-METZ;AIX-MARSEILLE;Lettres;
2019;NANTES;AIX-MARSEILLE;Lettres;
2019;NICE;AIX-MARSEILLE;Lettres;
2019;ORLEANS-TOURS;AIX-MARSEILLE;Lettres;
2019;PARIS;AIX-MARSEILLE;Lettres;
2019;POITIERS;AIX-MARSEILLE;Lettres;
2019;REIMS;AIX-MARSEILLE;Lettres;
2019;RENNES;AIX-MARSEILLE;Lettres;
2019;ROUEN;AIX-MARSEILLE;Lettres;
2019;STRASBOURG;AIX-MARSEILLE;Lettres;
