"siren";"siret";"Etablissement";"Secteur";"dataset"
"898192075";"89819207500015";"École pour l'informatique et les techniques avancées";"Privé";"etab.23"
"130003627";"13000362700010";"École des hautes études en santé publique";"Public";"etab.22"
"130018484";"13001848400019";"École normale supérieure de Rennes";"Public";"etab.22"
"193113826";"19311382600013";"Université Toulouse Capitole";"Public";"etab.22"
"193500774";"19350077400016";"École nationale supérieure de chimie de Rennes";"Public";"etab.22"
"193500972";"19350097200016";"Institut national des sciences appliquées de Rennes";"Public";"etab.22"
"193509361";"19350936100013";"Université de Rennes 1";"Public";"etab.22"
"193523172";"19352317200016";"Sciences Po Rennes";"Public";"etab.22"
"343592721";"34359272100017";"ISMANS";"Privé";"etab.22"
"530680495";"53068049500013";"École spéciale militaire de Saint-Cyr";"Public";"etab.22"
"804840411";"80484041100016";"Itescia";NA;"etab.22"
"130006042";"13000604200019";"Agrosup Dijon";"Public";"etab.21.2"
"193113867";"19311386700017";"Sciences Po Toulouse";"Public";"etab.21.2"
"197517188";"19751718800011";"Université Panthéon-Assas";"Public";"etab.21.2"
"391101581";"39110158100018";"EPF - École d'ingénieurs";"Privé";"etab.21.2"
"398898338";"39889833800023";"École d'ingénieur généraliste en informatique et technologies du numérique";"Privé";"etab.21.2"
"439946427";"43994642700028";"Groupe Institut catholique d'arts et métiers";"Privé";"etab.21.2"
"450355326";"45035532600023";"Centre de formation des journalistes";"Privé";"etab.21.2"
"531690238";"53169023800013";"École spéciale militaire de Saint-Cyr";"Public";"etab.21.2"
"780507190";"78050719000061";"École supérieure d'ingénieurs en électronique et électrotechnique d'Amiens";"Privé";"etab.21.2"
"784280836";"78428083600031";"Institut de management et de communication interculturels";"Privé";"etab.21.2"
"130013097";"13001309700063";"École nationale supérieure maritime";NA;"etab.20"
"130014228";"13001422800055";"École nationale de la statistique et de l'analyse de l'information";NA;"etab.20"
"130020548";"13002054800017";"Université de Montpellier";NA;"etab.20"
"130021918";"13002191800011";"SIGMA Clermont";NA;"etab.20"
"130022775";"13002277500014";"Université Clermont Auvergne";NA;"etab.20"
"130023583";"13002358300011";"Université de Lille";NA;"etab.20"
"183100023";"18310002300161";"Toulouse Business School";NA;"etab.20"
"186400057";"18640005700102";"École supérieure des technologies industrielles avancées";NA;"etab.20"
"192026649";"19202664900017";"Université de Corse Pasquale Paoli";NA;"etab.20"
"193100989";"19310098900022";"Centre de ressources, d'expertise et de performance sportives de Toulouse";NA;"etab.20"
"193401122";"19340112200018";"École nationale supérieure de chimie de Montpellier";NA;"etab.20"
"194200937";"19420093700010";"École nationale d'ingénieurs de Saint-Étienne";NA;"etab.20"
"194401006";"19440100600011";"Centrale Nantes";NA;"etab.20"
