"link";"reference";"jobLocation";"datePosted";"employmentType";"duration.months";"workHours";"baseSalary";"educationRequirements";"experienceRequirements"
"https://emploi.cnrs.fr/Offres/CDD/UMR5822-FLOJAC-026/Default.aspx";"UMR5822-FLOJAC-026";"VILLEURBANNE";"mercredi 25 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"1 950 euros bruts mensuels";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7504-CATBON-025/Default.aspx";"UMR7504-CATBON-025";"STRASBOURG";"jeudi 26 novembre 2020";"CDD Scientifique";"12";"Temps complet";"A partir de 2675.27 € bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/MOY1678-JESMAL-001/Default.aspx";"MOY1678-JESMAL-001";"LABEGE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1930 et 2170€ brut mensuel selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR9213-EMISEG0-011/Default.aspx";"UMR9213-EMISEG0-011";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"Environ2150€ bruts";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8578-TIBMIN0-016/Default.aspx";"UMR8578-TIBMIN0-016";"ORSAY";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"9";"Temps complet";"entre 2510 et 2694 euro brut mensuel, selon expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR7644-ALASUB-002/Default.aspx";"UMR7644-ALASUB-002";"PALAISEAU";"jeudi 26 novembre 2020";"CDD Scientifique";"24";"Temps complet";"entre 2600 and 3000  euros bruts par mois";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR8212-ISAPEN-002/Default.aspx";"UMR8212-ISAPEN-002";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"36";"Temps complet";"selon diplôme et expérience";"Bac+5";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR8578-TIBMIN0-015/Default.aspx";"UMR8578-TIBMIN0-015";"ORSAY";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"1988 et 2348 Euro brut/mois";"Bac+3";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR137-JULGRO0-007/Default.aspx";"UMR137-JULGRO0-007";"PALAISEAU";"jeudi 26 novembre 2020";"CDD Scientifique";"12";"Temps complet";"~2000€";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR9213-EMISEG0-012/Default.aspx";"UMR9213-EMISEG0-012";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"Environ 2510€ bruts";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/MOY700-SANBUS-038/Default.aspx";"MOY700-SANBUS-038";"VILLEURBANNE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"2109 à 2228€ brut mensuel selon expérience";"Bac+3";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/UMR5557-BEABIG-010/Default.aspx";"UMR5557-BEABIG-010";"VILLEURBANNE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"2109 à 2228€ brut mensuel en fonction de l'expérience";"Bac+5";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR5229-ANNBUS-003/Default.aspx";"UMR5229-ANNBUS-003";"BRON";"jeudi 26 novembre 2020";"CDD Scientifique";"12";"Temps complet";"entre 2675 et 3805 € bruts mensuels selon expérience";"Doctorat";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/UMR9020-FABLEJ-002/Default.aspx";"UMR9020-FABLEJ-002";"LILLE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"1 630-1 720 euros bruts mensuels selon expérience";"Bac+2";"1 à 4 années"
"https://emploi.cnrs.fr/Offres/CDD/MOY400-NATSEN-061/Default.aspx";"MOY400-NATSEN-061";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"6";"Temps complet";"entre 1988€ et 2348€ bruts mensuel selon expérience";"Bac+2";"Indifférent"
"https://emploi.cnrs.fr/Offres/CDD/MOY400-NATSEN-060/Default.aspx";"MOY400-NATSEN-060";"GIF SUR YVETTE";"jeudi 26 novembre 2020";"CDD Technique/Administratif";"12";"Temps complet";"entre 1988€ et 2348€ bruts mensuel selon expérience";"Bac+2";"Indifférent"
