link;reference;title;jobLocation;datePosted;employmentType;duration.months;workHours;baseSalary;Salaire.brut.min;Salaire.brut.max;educationRequirements;experienceRequirements
https://emploi.cnrs.fr/Offres/CDD/UMR5239-ISASER-011/Default.aspx;UMR5239-ISASER-011;Technicien(ne) de laboratoire (H/F);LYON 07;vendredi 20 novembre 2020;CDD Technique/Administratif;12;Temps complet;entre 1 660 et 1 760 bruts menseuls selon expérience;1660;1760;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR8564-NAZATT-004/Default.aspx;UMR8564-NAZATT-004;Gestionnaire financier.e et comptable (H/F);PARIS 06;jeudi 18 mars 2021;CDD Technique/Administratif;8;Temps complet;entre 1622 et 1757€ Brute mensuelle selon expérience;1622;1757;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7372-SABGAB-002/Default.aspx;UMR7372-SABGAB-002;"Technicien-ne biologiste ""H/F""  - Pollinisation";VILLIERS EN BOIS;vendredi 29 janvier 2021;CDD Technique/Administratif;6;Temps complet;Entre 1661.98 et 1756.75 euros bruts mensuels selon expérience;1661.98;1756.75;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7372-SABGAB-003/Default.aspx;UMR7372-SABGAB-003;Technicien-ne biologiste H/F;VILLIERS EN BOIS;vendredi 29 janvier 2021;CDD Technique/Administratif;6;Temps complet;Entre 1661.98 et 1756.75 euros bruts mensuels selon expérience;1661.98;1756.75;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/MOY1200-GERDEM-013/Default.aspx;MOY1200-GERDEM-013;Technicien-ne électricité ( H/F);MARSEILLE 09;mardi 12 janvier 2021;CDD Technique/Administratif;10;Temps complet;entre 1661.98 et 1756.75 euros bruts mensuels;1661.98;1756.75;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7583-GENTUA-025/Default.aspx;UMR7583-GENTUA-025;Technicien(ne) gestion administrative (H/F);CRETEIL;lundi 30 novembre 2020;CDD Technique/Administratif;10;Temps complet;1 661,97  et 1 756,74 euros bruts mensuels selon expérience;1661.97;1756.74;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7164-SANMER-011/Default.aspx;UMR7164-SANMER-011;Technicien logistique (H/F);PARIS 13;mercredi 24 mars 2021;CDD Technique/Administratif;12;Temps complet;entre 1661 € et 1756 € bruts mensuels;1661;1756;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR9198-CHROUL1-039/Default.aspx;UMR9198-CHROUL1-039;CDD Technien en aménagement, maintenance et exploitation du bâti - H/F;GIF SUR YVETTE;vendredi 20 novembre 2020;CDD Technique/Administratif;6;Temps complet;salaire brut mensuel de 1661€ à 1756€ selon expérience;1661;1756;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7359-CAMGAG-005/Default.aspx;UMR7359-CAMGAG-005;Gestionnaire administratif et financier H/F;VANDOEUVRE LES NANCY;jeudi 17 décembre 2020;CDD Technique/Administratif;6;Temps complet;entre 1580€ et 1750€ bruts mensuels selon expérience;1580;1750;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR9002-BENMEL-001/Default.aspx;UMR9002-BENMEL-001;H/F Technicien(ne) Logistique;MONTPELLIER;vendredi 4 décembre 2020;CDD Technique/Administratif;6;Temps complet;Entre 1630 et 1730 € bruts mensuels (selon expérience);1630;1730;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR5175-VERHAN-012/Default.aspx;UMR5175-VERHAN-012;Technicien gestionnaire Ressources Humaines (H/F);MONTPELLIER;jeudi 18 mars 2021;CDD Technique/Administratif;6;Temps complet;entre 1630 et 1722 € bruts selon experience;1630;1722;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UAR3426-EDIDEM0-028/Default.aspx;UAR3426-EDIDEM0-028;Technicien d exploitation et d assistance H/F;MONTPELLIER;jeudi 25 mars 2021;CDD Technique/Administratif;6;Temps complet;Entre 1629 € et 1722 € brut mensuel selon expérience;1629;1722;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UMR7564-SOFELK-001/Default.aspx;UMR7564-SOFELK-001;H/F Technicien Chimie/Microbiologie;VILLERS LES NANCY;lundi 15 mars 2021;CDD Technique/Administratif;18;Temps complet;entre 1629e et 1722e bruts mensuels selon expérience;1629;1722;Bac+2;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR5138-CHROBE-002/Default.aspx;UMR5138-CHROBE-002;Technicien H/F en analyses chimiques;VILLEURBANNE;mardi 2 mars 2021;CDD Technique/Administratif;3;Temps complet;entre 1629 et 1722 € bruts mensuels selon exprérience;1629;1722;Bac / Bac pro;Indifférent
https://emploi.cnrs.fr/Offres/CDD/UMR7363-MARDEL-003/Default.aspx;UMR7363-MARDEL-003;Technicien.ne gestion financière H/F;STRASBOURG;lundi 15 février 2021;CDD Technique/Administratif;6;Temps complet;de 1 629 à 1 722€ brut mensuel selon expérience;1629;1722;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/UAR3426-EDIDEM0-027/Default.aspx;UAR3426-EDIDEM0-027;Technicien d exploitation et d assistance H/F;MONTPELLIER;mardi 16 février 2021;CDD Technique/Administratif;6;Temps complet;Entre 1629 € et 1722 € brut mensuel selon expérience;1629;1722;Bac / Bac pro;1 à 4 années
https://emploi.cnrs.fr/Offres/CDD/MOY700-SANBUS-044/Default.aspx;MOY700-SANBUS-044;Gestionnaire financier (H/F);VILLEURBANNE;vendredi 5 février 2021;CDD Technique/Administratif;7;Temps complet;Entre 1629 et 1722€ brut mensuel selon expérience;1629;1722;Bac / Bac pro;Indifférent
